,金莎足球场,体育休闲服务,运动场馆,足球场,广东省,广州市,花都区,113.240753,23.404049
0,宾菲杨泳场,体育休闲服务,运动场馆,游泳馆,广东省,广州市,花都区,113.240311,23.404575
1,花都体育中心,体育休闲服务,运动场馆,综合体育馆,广东省,广州市,花都区,113.220008,23.38506
2,SNOOKER桌球俱乐部,体育休闲服务,运动场馆,台球厅,广东省,广州市,花都区,113.22786,23.39934
3,美东羽毛球馆,体育休闲服务,运动场馆,羽毛球场,广东省,广州市,花都区,113.252858,23.41618
4,ATM滑雪俱乐部中心,体育休闲服务,运动场馆,滑雪场,广东省,广州市,花都区,113.235542,23.429321
5,花都体育馆,体育休闲服务,运动场馆,综合体育馆,广东省,广州市,花都区,113.21103,23.379593
6,东方景观酒店-网球,体育休闲服务,运动场馆,网球场,广东省,广州市,花都区,113.240217,23.500868
7,东方景观酒店-保龄球,体育休闲服务,运动场馆,保龄球馆,广东省,广州市,花都区,113.240217,23.500868
8,芙蓉会议中心-篮球场,体育休闲服务,运动场馆,篮球场馆,广东省,广州市,花都区,113.227228,23.50036
9,芙蓉会议中心壁球馆,体育休闲服务,运动场馆,壁球场,广东省,广州市,花都区,113.226082,23.499977
10,芙蓉会议中心-桌球室,体育休闲服务,运动场馆,台球厅,广东省,广州市,花都区,113.226396,23.500293
11,芙蓉会议中心-羽毛球场,体育休闲服务,运动场馆,羽毛球场,广东省,广州市,花都区,113.22707,23.500372
12,福乐顺台球,体育休闲服务,运动场馆,台球厅,广东省,广州市,花都区,113.228724,23.469838
13,佳旺桌球城,体育休闲服务,运动场馆,台球厅,广东省,广州市,白云区,113.241421,23.255831
14,喜点台球球馆,体育休闲服务,运动场馆,台球厅,广东省,广州市,白云区,113.241666,23.25681
15,台球棋牌,体育休闲服务,运动场馆,台球厅,广东省,广州市,白云区,113.241981,23.256614
16,江高追梦体育馆,体育休闲服务,运动场馆,综合体育馆,广东省,广州市,白云区,113.226625,23.267781
17,正街园篮球场,体育休闲服务,运动场馆,篮球场馆,广东省,广州市,白云区,113.245723,23.242978
18,88台球(大朗中路),体育休闲服务,运动场馆,台球厅,广东省,广州市,白云区,113.241772,23.23957
19,江高公园-游泳场,体育休闲服务,运动场馆,游泳馆,广东省,广州市,白云区,113.230823,23.269576
20,龙湖燃气羽毛球馆,体育休闲服务,运动场馆,羽毛球场,广东省,广州市,白云区,113.230071,23.264397
21,乐优游SPA游泳馆,体育休闲服务,运动场馆,游泳馆,广东省,广州市,白云区,113.235612,23.273632
22,滘心篮球场,体育休闲服务,运动场馆,篮球场馆,广东省,广州市,白云区,113.225088,23.23852
23,星牌台球(白云旗舰店),体育休闲服务,运动场馆,台球厅,广东省,广州市,白云区,113.257243,23.247214
24,情怀台球房,体育休闲服务,运动场馆,台球厅,广东省,广州市,花都区,113.23252,23.338926
25,乐运汇少儿运动馆(朗悦),体育休闲服务,运动场馆,综合体育馆,广东省,广州市,花都区,113.250697,23.352687
26,广州市白云区江高镇双岗村篮球场,体育休闲服务,运动场馆,篮球场馆,广东省,广州市,白云区,113.228184,23.326658
27,动元室内国际游泳馆,体育休闲服务,运动场馆,游泳馆,广东省,广州市,花都区,113.222589,23.343686
28,桌球店,体育休闲服务,运动场馆,台球厅,广东省,广州市,花都区,113.225581,23.340234
