,湛鲜海货,购物服务,综合市场,水产海鲜市场,广东省,广州市,花都区,113.237227,23.418427
0,广州鱼市场,购物服务,综合市场,水产海鲜市场,广东省,广州市,荔湾区,113.236049,23.090833
1,肥仔冰鲜档,购物服务,综合市场,水产海鲜市场,广东省,广州市,荔湾区,113.236424,23.094284
2,正宗江苏大闸蟹,购物服务,综合市场,水产海鲜市场,广东省,广州市,白云区,113.239462,23.171357
3,第一家水库鱼专卖店,购物服务,综合市场,水产海鲜市场,广东省,广州市,海珠区,113.397586,23.093163
4,陈记海产（生蚝批发）,购物服务,综合市场,水产海鲜市场,广东省,广州市,番禺区,113.400469,22.932245
5,能记海鲜,购物服务,综合市场,水产海鲜市场,广东省,广州市,花都区,113.419372,23.421992
6,顺德水产,购物服务,综合市场,水产海鲜市场,广东省,广州市,黄埔区,113.47871,23.093886
7,忠记水产,购物服务,综合市场,水产海鲜市场,广东省,广州市,花都区,113.096439,23.335867
8,新丰水产经营部,购物服务,综合市场,水产海鲜市场,广东省,广州市,增城区,113.854724,23.185556
9,成记鱼档,购物服务,综合市场,水产海鲜市场,广东省,广州市,从化区,113.541693,23.430391
10,潮汕李记海鲜批发,购物服务,综合市场,水产海鲜市场,广东省,广州市,黄埔区,113.551477,23.104973
11,十九涌水产品交易码头,购物服务,综合市场,水产海鲜市场,广东省,广州市,南沙区,113.648367,22.6018
12,利东海味,购物服务,综合市场,水产海鲜市场,广东省,广州市,南沙区,113.649687,22.603368
13,南沙水产市场,购物服务,综合市场,水产海鲜市场,广东省,广州市,南沙区,113.60742,22.643576
14,君珍蟹档,购物服务,综合市场,水产海鲜市场,广东省,广州市,南沙区,113.608094,22.642626
15,十四涌水产中心,购物服务,综合市场,水产海鲜市场,广东省,广州市,南沙区,113.608524,22.642198
16,春晓蟹档,购物服务,综合市场,水产海鲜市场,广东省,广州市,南沙区,113.60961,22.641914
17,陈添好海鲜铺,购物服务,综合市场,水产海鲜市场,广东省,广州市,南沙区,113.608517,22.643121
18,方瑞兰海鲜铺,购物服务,综合市场,水产海鲜市场,广东省,广州市,南沙区,113.608511,22.643126
19,a東寻鲜海鲜专营,购物服务,综合市场,水产海鲜市场,广东省,广州市,南沙区,113.608374,22.642814
20,许志文海鲜铺,购物服务,综合市场,水产海鲜市场,广东省,广州市,南沙区,113.608349,22.643288
21,两广水产,购物服务,综合市场,水产海鲜市场,广东省,广州市,南沙区,113.60728,22.642761
22,顺风行水产(新垦分店),购物服务,综合市场,水产海鲜市场,广东省,广州市,南沙区,113.609751,22.64185
23,福记海鲜冻品店,购物服务,综合市场,水产海鲜市场,广东省,广州市,增城区,113.640695,23.165977
24,全惠你海鲜,购物服务,综合市场,水产海鲜市场,广东省,广州市,增城区,113.720445,23.168448
