,沙井人民医院和一社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.78715,22.71194
0,宝安第二人民医院(集团)总医院民主社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.781846,22.735134
1,福永人民医院福海社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.785577,22.686682
2,深圳复亚医院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.830418,22.764449
3,后亭社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.821199,22.756864
4,沙井人民医院步涌社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.812852,22.754102
5,深圳万丰医院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.828322,22.722887
6,沙井人民医院大王山社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.804465,22.716296
7,马鞍山社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.818141,22.716707
8,壆岗医院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.819234,22.730925
9,沙井人民医院社康中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.804353,22.716203
10,深圳市中西医结合医院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.805363,22.73262
11,坣岗医院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.819186,22.731001
12,广州医科大学附属深圳医院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.805702,22.732323
13,福永人民医院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.818505,22.671108
14,深圳广生医院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.828008,22.697507
15,深圳永福医院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.827822,22.674936
16,福永人民医院和平社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.796368,22.691306
17,福永人民医院桥头社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.810348,22.688967
18,兴围社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.831098,22.638415
19,福永人民医院福围社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.820934,22.653117
20,福永人民医院永福苑社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.81948,22.656335
21,福永人民医院和塘社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.80443,22.697707
22,福永人民医院福永社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.814877,22.666707
23,深圳燕罗塘医院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.842053,22.798487
24,燕罗社区医院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.84959,22.797336
25,松岗人民医院塘下涌社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.840097,22.800683
26,深圳市松岗人民医院(沙江路),医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.840629,22.776397
27,沙井人民医院第二门诊部,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.840018,22.719706
28,深圳新桥卫生院,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.839936,22.734524
29,深圳天伦医院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.834597,22.711376
30,上寮社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.839443,22.721155
31,沙井人民医院南洞社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.846042,22.708929
32,飞歌客户服务中心医院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.847187,22.735026
33,凤凰第三工业区医疗服务站,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.842001,22.681797
34,福永人民医院凤凰山社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.841868,22.681688
35,深圳市宝安区福永人民医院凤凰分院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.833945,22.691508
36,白石厦东区社康中心(装修中),医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.831587,22.674342
37,深圳市宝安区中心医院黄田分院(装修中),医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.84429,22.629986
38,宝安区中心医院九围社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.863898,22.648366
39,西乡人民医院后瑞社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.83763,22.629614
40,深圳深业康复医院,医疗保健服务,综合医院,综合医院,广东省,深圳市,宝安区,113.864861,22.6248
41,深圳市宝安区中心医院航城社区健康服务中心,医疗保健服务,综合医院,卫生院,广东省,深圳市,宝安区,113.844289,22.629967
