359,287,广州团一大纪念广场(装修中),1,1,1,1.0
549,439,玉带濠文化广场,1,0.9,1,0.9
789,631,听潮苑,1,0.55,1,0.55
1004,803,大沙头旧东站铁路纪念园,1,0.25,1,0.25
1105,884,百岁坊公园,1,0.08,1,0.08
1169,935,大塘街秉正文化广场,1,0.08,1,0.08
1255,1004,海印文化广场,1,0.08,1,0.08
1232,986,兴华邨公园,3,0.08,1,0.08
71,57,明珠公园,4,1,1,1.0
586,469,河东广场,5,0.9,1,0.9
499,399,清水塘文化广场,6,0.9,1,0.9
1116,893,沙河广场,6,0.08,1,0.08
1294,1035,云台花园,6,0.08,1,0.08
755,604,兴华邨公园,7,0.55,1,0.55
1280,1024,沙东街双拥文体广场,7,0.08,1,0.08
1130,904,燕岭小公园,7,0.08,1,0.08
1123,898,燕岭公园,7,0.08,1,0.08
16,13,山村公园,9,1,1,1.0
974,779,荔湾区石围塘街新基文化广场,9,0.25,1,0.25
1150,920,蓝蚂螂迷你艾琪体育公园,11,0.08,1,0.08
581,465,双清园,12,0.9,1,0.9
1200,960,多肉军植物园,12,0.08,1,0.08
282,226,兴隆广场,13,1,1,1.0
668,534,凤翔公园,13,0.55,1,0.55
738,590,南趣园,13,0.55,1,0.55
1120,896,尚峰广场,13,0.08,1,0.08
1230,984,小公园,13,0.08,1,0.08
1266,1013,圣晖园,13,0.08,1,0.08
761,609,弈方多媒体文化广场,14,0.55,1,0.55
1234,987,穗园小区青少年文化广场,14,0.08,1,0.08
1158,926,晚晴园,14,0.08,1,0.08
1184,947,华南理工大学东区健身广场,14,0.08,1,0.08
583,466,泉溪公园,15,0.9,1,0.9
1294,1035,北星社区文化广场,16,0.08,1,0.08
442,354,情趣公园,17,0.9,1,0.9
741,593,小龙公园,17,0.55,1,0.55
1126,901,大龙街沙涌村共青团环保公园,17,0.08,1,0.08
725,580,石碁文化广场,17,0.55,1,0.55
1107,886,流坑公园,17,0.08,1,0.08
787,630,鹤群公园,18,0.55,1,0.55
1241,993,三洪社小区公园,18,0.08,1,0.08
1095,876,鹤韵广场,18,0.08,1,0.08
430,344,茶滘新村社区文化广场,20,1,1,1.0
447,358,茶窖街合兴苑社区文化广场,20,0.9,1,0.9
1176,941,上湾小区体育公园,22,0.08,1,0.08
470,376,嘉禾街新科党建公园,23,0.9,1,0.9
724,579,新雅街文化广场,24,0.55,1,0.55
473,378,雅瑶镇三向村文化广场,24,0.9,1,0.9
1077,862,岑境村文化广场,24,0.25,1,0.25
1123,898,新雅艺术广场,24,0.08,1,0.08
527,422,顺发公园,25,0.9,1,0.9
917,734,纪念广场,25,0.25,1,0.25
928,742,星海公园,25,0.25,1,0.25
920,736,宪法主题公园,25,0.25,1,0.25
1143,914,鸿基广场,25,0.08,1,0.08
1239,991,云星广场,25,0.08,1,0.08
1139,911,HB公园,25,0.08,1,0.08
293,234,水晶宫文化广场,26,1,1,1.0
469,375,新广场,26,0.9,1,0.9
727,582,羣园,26,0.55,1,0.55
611,489,沙园家电(市桥旗舰店),26,0.9,1,0.9
1273,1018,南郊公园,26,0.08,1,0.08
690,552,西园,26,0.55,1,0.55
1114,891,顺发公园,26,0.08,1,0.08
1265,1012,星海公园,26,0.08,1,0.08
1243,994,纪念广场,26,0.08,1,0.08
359,287,荔联文化长廊,27,1,1,1.0
393,314,荔联文化广场,27,1,1,1.0
341,273,彭上公园,28,1,1,1.0
638,510,嘉禾小公园,28,0.9,1,0.9
738,590,联边公园,28,0.55,1,0.55
780,624,彭西新村健身休闲广场,28,0.55,1,0.55
946,757,创胜广场,28,0.25,1,0.25
