步行最短距离（m）,步行最短时间（s）,公共服务设施名称,ID,距离分类,权重,纠正后权重
804,643,广州市昊琛养老院,1,0.55,0.2,0.11
691,553,荷芙蔓芳疗SPA养生殿,1,0.55,0.2,0.11
1076,861,广九社区星光老年之家,1,0.25,0.2,0.05
1304,1043,目明尔来视力矫正康复中心(农讲所店),1,0.08,0.2,0.016
164,131,联星老人康乐苑,5,1,0.2,0.2
775,620,广州市菘溪养老院,5,0.55,0.2,0.11
1238,990,天河区小天使康复训练中心,7,0.08,0.2,0.016
17,14,广州市康桦怡养护理院,10,1,0.2,0.2
925,740,步漖六社老人活动中心,11,0.25,0.2,0.05
932,746,东漖颐和养老院,11,0.25,0.2,0.05
1126,901,广州市残疾人康复中心,14,0.08,0.2,0.016
672,538,星光老年之家,16,0.55,0.2,0.11
700,560,悦耳堂采耳养生体验馆(石基店),17,0.55,0.2,0.11
715,572,石碁敬老院,17,0.55,0.2,0.11
678,542,敬老院诊所,17,0.55,0.2,0.11
532,426,广州造船厂养老院,18,0.9,0.2,0.18
693,554,广船养老院,18,0.55,0.2,0.11
761,609,鹤洞敬老院,18,0.55,0.2,0.11
1010,808,鹤寿养老院,18,0.25,0.2,0.05
510,408,信孚穗康颐养院,18,0.9,0.2,0.18
633,506,荔湾区私营企业协会鹤洞分会,18,0.9,0.2,0.18
618,494,广州造船厂敬老院(西门),18,0.9,0.2,0.18
917,734,白鹤洞街道居家养老综合服务中心,18,0.25,0.2,0.05
39,31,龙溪敬老楼,19,1,0.2,0.2
149,119,荔湾区怡康养老院,20,1,0.2,0.2
565,452,颈肩腰康复,20,0.9,0.2,0.18
849,679,广州市芳村区英明老人疗养院(涌岸街),20,0.55,0.2,0.11
840,672,广州市英明老人疗养院(西北门),20,0.55,0.2,0.11
1096,877,新雅街岑境村老人活动站,24,0.08,0.2,0.016
612,490,琪琪康乐园,25,0.9,0.2,0.18
791,633,李氏康复中心,25,0.55,0.2,0.11
879,703,颐养园,25,0.25,0.2,0.05
1241,993,舒瞳视力养护,25,0.08,0.2,0.016
259,207,市桥街大市社区星光老年之家,26,1,0.2,0.2
625,500,番禺东城疗养院,26,0.9,0.2,0.18
625,500,广州市番禺疗养院东城门诊部,26,0.9,0.2,0.18
673,538,广州市番禺疗养院(海傍门诊部),26,0.55,0.2,0.11
699,559,番禺疗养院海傍门诊部牙科,26,0.55,0.2,0.11
704,563,广州市番禺区残疾人康复中心,26,0.55,0.2,0.11
1177,942,舒瞳视力养护,26,0.08,0.2,0.016
1195,956,番禺区市桥街西丽片残疾人康复站,26,0.08,0.2,0.016
1134,907,望北老人院,28,0.08,0.2,0.016
696,557,星光老年之家,29,0.55,0.2,0.11
1106,885,鹿鸣山庄(鹿步大街店),29,0.08,0.2,0.016
530,424,广州江南颐养苑,34,0.9,0.2,0.18
1257,1006,乐怡养老院,34,0.08,0.2,0.016
606,485,养和怡老院,37,0.9,0.2,0.18
836,669,安怡敬老院,37,0.55,0.2,0.11
262,210,广州市小天使康复训练中心,38,1,0.2,0.2
680,544,颐和养老豪廷公寓,38,0.55,0.2,0.11
1005,804,康乃馨社区星光老年之家,38,0.25,0.2,0.05
1046,837,广州市荔湾区森盛语音康复中心,38,0.25,0.2,0.05
1196,957,颈肩腰康复,38,0.08,0.2,0.016
672,538,颐年养老院石溪院,39,0.55,0.2,0.11
794,635,百文养老院,39,0.55,0.2,0.11
869,695,广州市海珠区百丈颐养中心,39,0.55,0.2,0.11
521,417,第五休养所,40,0.9,0.2,0.18
716,573,特别特(洛阳宜阳县),40,0.55,0.2,0.11
637,510,望北老人院,41,0.9,0.2,0.18
835,668,广州市荔湾区森盛语音康复中心,46,0.55,0.2,0.11
891,713,康乃馨社区星光老年之家,46,0.25,0.2,0.05
1124,899,广州造船厂养老院鹤洞分院,46,0.08,0.2,0.016
1296,1037,广州广船养老院有限公司鹤洞分院,46,0.08,0.2,0.016
1107,886,广州市小天使康复训练中心,46,0.08,0.2,0.016
934,747,广州安耆创坤养老院,47,0.25,0.2,0.05
637,510,星光老年之家,48,0.9,0.2,0.18
1257,1006,梅花村街共和颐老院,49,0.08,0.2,0.016
1125,900,越秀区添寿老人院,49,0.08,0.2,0.016
321,257,迁逗老人公寓,50,1,0.2,0.2
381,305,闻千岁养老院,50,1,0.2,0.2
1047,838,同德街社区居家养老服务部,50,0.25,0.2,0.05
662,530,中国银行&良典养老院停车场,50,0.55,0.2,0.11
719,575,恒德苑,50,0.55,0.2,0.11
753,602,中国银行&良典养老院停车场(入口),50,0.55,0.2,0.11
868,694,合德苑,50,0.55,0.2,0.11
774,619,良典养老院(西门),50,0.55,0.2,0.11
865,692,良典养老院,50,0.55,0.2,0.11
777,622,丽挺悠悠鲜花坊,50,0.55,0.2,0.11
1138,910,黄阁敬老院(东南门),51,0.08,0.2,0.016
1161,929,黄阁敬老院,51,0.08,0.2,0.016
418,334,石冈老人活动中心,52,1,0.2,0.2
1163,930,广东省公路管理局科技教育中心(广东省公路管理局疗养院),52,0.08,0.2,0.016
1123,898,广东省公路管理局科技教育中心,52,0.08,0.2,0.016
126,101,番禺东城疗养院,53,1,0.2,0.2
126,101,广州市番禺疗养院东城门诊部,53,1,0.2,0.2
228,182,广州市番禺区残疾人康复中心,53,1,0.2,0.2
1153,922,颐养园,53,0.08,0.2,0.016
737,590,市桥街大市社区星光老年之家,53,0.55,0.2,0.11
1151,921,广州市番禺疗养院(海傍门诊部),53,0.08,0.2,0.016
1177,942,番禺疗养院海傍门诊部牙科,53,0.08,0.2,0.016
49,39,番禺疗养院海傍门诊部牙科,54,1,0.2,0.2
75,60,广州市番禺疗养院(海傍门诊部),54,1,0.2,0.2
580,464,市桥街大市社区星光老年之家,54,0.9,0.2,0.18
1115,892,番禺东城疗养院,54,0.08,0.2,0.016
1115,892,广州市番禺疗养院东城门诊部,54,0.08,0.2,0.016
1281,1025,番禺区市桥街西丽片残疾人康复站,54,0.08,0.2,0.016
623,498,广东崇爱康复医院疼痛微创康复中心,56,0.9,0.2,0.18
631,505,暨南大学附属崇爱医院儿童脑病康复中心,56,0.9,0.2,0.18
727,582,永泰社区星光老年之家,56,0.55,0.2,0.11
755,604,银行疗养院工作站,56,0.55,0.2,0.11
961,769,中国人民银行广州分行疗养院(恒福社区东北),56,0.25,0.2,0.05
1038,830,颐福居,56,0.25,0.2,0.05
1231,985,中国人民银行广州分行恒福办公区(北门),56,0.08,0.2,0.016
1040,832,国投健康·嘉栖长者公寓,56,0.25,0.2,0.05
1236,989,疗养院办公楼,56,0.08,0.2,0.016
702,562,广东颐年养老院(西北2门),57,0.55,0.2,0.11
806,645,广东颐年养老院,57,0.55,0.2,0.11
797,638,广东颐年养老院(西北1门),57,0.55,0.2,0.11
790,632,赤岗街日间托老中心,57,0.55,0.2,0.11
674,539,筋膜博士康复治疗中心(越秀店),58,0.55,0.2,0.11
944,755,广州市老干部休养所,58,0.25,0.2,0.05
640,512,同德街社区居家养老服务部,59,0.9,0.2,0.18
633,506,闻千岁养老院,59,0.9,0.2,0.18
734,587,迁逗老人公寓,59,0.55,0.2,0.11
889,711,中国银行&良典养老院停车场,59,0.25,0.2,0.05
1001,801,良典养老院(西门),59,0.25,0.2,0.05
946,757,恒德苑,59,0.25,0.2,0.05
1095,876,合德苑,59,0.08,0.2,0.016
1092,874,良典养老院,59,0.08,0.2,0.016
980,784,中国银行&良典养老院停车场(入口),59,0.25,0.2,0.05
1004,803,丽挺悠悠鲜花坊,59,0.25,0.2,0.05
85,68,黄埔区艾欣残疾人康复中心,60,1,0.2,0.2
343,274,颐年护理院,63,1,0.2,0.2
384,307,广州市天河区颐年养老院,63,1,0.2,0.2
886,709,理春堂疼痛理疗服务中心,63,0.25,0.2,0.05
27,22,瑞恩颐养院,64,1,0.2,0.2
425,340,广州市南沙区珠江街敬老院,66,1,0.2,0.2
1042,834,万顷沙镇敬老院,66,0.25,0.2,0.05
756,605,天河区小天使康复训练中心,67,0.55,0.2,0.11
1264,1011,广州市燕岭颐养院,67,0.08,0.2,0.016
1264,1011,广州市天河区老人院,67,0.08,0.2,0.016
575,460,敬老乐园,69,0.9,0.2,0.18
561,449,理春堂疼痛理疗服务中心(新市店),69,0.9,0.2,0.18
1143,914,千龄颈肩腰腿痛康复,71,0.08,0.2,0.016
432,346,广州市番禺疗养院(海傍门诊部),74,1,0.2,0.2
419,335,番禺疗养院海傍门诊部牙科,74,1,0.2,0.2
916,733,市桥街大市社区星光老年之家,74,0.25,0.2,0.05
1163,930,番禺东城疗养院,74,0.08,0.2,0.016
1163,930,广州市番禺疗养院东城门诊部,74,0.08,0.2,0.016
855,684,第五休养所,75,0.55,0.2,0.11
1050,840,特别特(洛阳宜阳县),75,0.25,0.2,0.05
884,707,安婍尔自愈康复中心,76,0.25,0.2,0.05
